email_subject,email_body,email_category,urgency level
Product Quality,The product I purchased broke within a week. Poor quality.,feedback,medium
Customer Service,The customer service at this store is exceptional. They went above and beyond.,feedback,medium
Customer Service,I had a terrible experience with their technical support. No resolution.,feedback,medium
Customer Service,The customer support was quick to respond and resolved my issue. Impressed!,feedback,medium
Hospitality & Restaurants,This restaurant has the best food. I highly recommend it!,feedback,medium
Hospitality & Restaurants,The customer service at this hotel was terrible. Avoid at all costs.,feedback,medium
Product Quality,I'm impressed with the sound quality of these headphones. Excellent!,feedback,medium
Website & Digital Services,The website design is sleek and user-friendly. Easy to navigate.,feedback,medium
Delivery & Logistics,I had a terrible experience with their delivery service. Late and unprofessional.,feedback,medium
Customer Service,I'm extremely disappointed with the customer support. No resolution.,feedback,medium
Customer Service,I'm so disappointed with their customer support.,feedback,medium
Product Quality,The quality of this product is subpar.,feedback,medium
Website & Digital Services,Their website is so user-friendly. Love it!,feedback,medium
Customer Service,The customer service was terrible.,feedback,medium
Product Quality,I'm extremely disappointed with their product quality.,feedback,medium
Product Quality,The product arrived damaged. Very disappointed.,feedback,medium
Customer Service,I had a terrible experience with their customer support.,feedback,medium
Customer Service,The customer service at this store is top-notch.,feedback,medium
Books & Entertainment,I'm disappointed with the ending of this book. It fell flat.,feedback,medium
Product Quality,The product I received was damaged. Unacceptable.,feedback,medium
Travel & Airlines,Just had the worst flight experience. Delayed and rude staff.,feedback,medium
Hospitality & Restaurants,The hotel stay was absolutely amazing! Luxury at its finest.,feedback,medium
Website & Digital Services,I had a frustrating experience navigating through their website.,feedback,medium
Delivery & Logistics,The product I ordered never arrived. Terrible service.,feedback,medium
Customer Service,I had a great chat with their customer support. Helpful and friendly.,feedback,medium
Product Quality,The product I purchased broke within a week. Poor quality.,feedback,medium
Customer Service,The customer service at this store is exceptional. They went above and beyond.,feedback,medium
Product Purchase experience,"terrific purchase,nice product",feedback,medium
Device Connectivity Issues with OTG and WiFi,worthless beware guys this device doesnt support otg connection and one more problem that is too big to be shadowed is the issue of wifi connectivity with a few telecom service providers such as vodafone airtel but it works flawlessly with jio connection,feedback,medium
